LC_ID,VS1_Pass_Fail,VS1_Line_Diff,VS2_Pass_Fail,VS2_Runtime_Pct,VS2_Memory_Pct,RQ1_Runtime_PCT,RQ1_Memory_PCT,,,
2418,1,32,1,0.7903,0.2087,0.7712,0.4194,,,
2644,1,23,0,0,0,0.64,0.96,,,
2652,1,26,0,0,0,0.5446,0.2567,,,
2729,1,22,0,0,0,0.9918,0.3014,,VS1_Avg_Pass_Rate,VS2_Avg_Pass_Rate
2733,1,25,0,0,0,0.5117,0.4654,,0.95,0.4
2739,1,26,0,0,0,0.8343,0.1276,,,
2778,1,26,0,0,0,0.5041,0.663,,,
2784,1,32,0,0,0,0.9028,0.3916,,,
2788,1,22,1,0.6884,0.5944,0.5174,0.8115,,,
2798,1,32,1,0.7199,0.7598,0.7557,0.3181,,,
2810,1,29,1,0.8486,0.1488,0.2963,0.3765,,,
2815,1,23,0,0,0,0.2648,0.6374,,,
2824,1,24,1,0.978,0.1529,0.3081,0.0846,,,
2828,1,28,1,0.7205,0.7965,0.2915,0.3741,,,
2843,1,24,1,0.3154,0.5709,0.7624,0.494,,,
2859,1,21,0,0,0,0.7447,0.4045,,,
2894,1,16,1,0.4555,0.978,0.3965,0.0793,,,
2900,0,7,0,0,0,0.8526,0.3005,,,
2903,1,30,0,0,0,0.3646,0.1596,,,
2917,1,22,0,0,0,0.4009,0.9657,,,