LC_ID,Setting,Pass/Fail,runtime_pct,mem_pct
2418,0,1,0.4195,0.5221
2644,0,1,0.6641,0.3321
2644,1,1,0.6641,0.5472
2652,0,1,0.9548,0.1291
2652,1,1,0.6668,0.1291
2729,0,1,0.5246,0.1629
2733,0,1,0.9956,0.1735
2733,1,1,0.5682,0.2371
2739,0,1,0.997,0.1364
2778,0,1,1,0.2108
2778,1,1,1,0.5733
2784,0,0,0,0
2788,0,0,0,0
2788,1,0,0,0
2798,0,1,0.4437,0.0668
2798,1,1,0.4437,0.108
2806,1,1,1,0.5044
2810,0,1,0.3147,0.2763
2815,0,1,0.4233,0.2293
2824,0,1,0.9792,0.0586
2824,1,1,0.9792,0.7046
2827,1,0,0,0
2828,0,1,0.1299,0.1491
2828,1,1,0.5374,0.1491
2843,0,1,0.1301,0.4126
2848,1,1,0.5018,0.4117
2859,0,1,1,0.2854
2859,1,1,0.0992,0.1199
2894,0,1,0.9348,0.1473
2894,1,1,0.9348,0.1473
2900,0,1,1,0.2711
2900,1,0,0,0
2903,0,1,0.9972,0.1571
2917,0,1,0.9699,0.0542
2917,1,1,0.848,0.2897